name,age,gender,country,state,city,parent_occupation,earning_class,level_of_student,level_of_course,course_name,time_spent_per_day,material_name,material_level,iq_of_student,assessment_score,promoted_or_skipped
Student_1,13,Female,India,Karnataka,Hubli,Government Job,High,Advanced,Intermediate,Java,4.14,Tutor,Easy,82,87,Promoted
Student_2,11,Male,India,Karnataka,Mysore,Business,Middle,Advanced,Basic,C++,5.25,Tutor,Hard,149,100,Promoted
Student_3,13,Male,India,Tamil Nadu,Chennai,Business,Middle,Intermediate,Basic,C++,4.8,PDF,Medium,95,79,Promoted
Student_4,11,Female,India,Karnataka,Bangalore,Doctor,Middle,Beginner,Intermediate,C++,5.35,PDF,Medium,115,94,Promoted
Student_5,8,Female,India,Tamil Nadu,Coimbatore,Doctor,Low,Beginner,Basic,JavaScript,3.42,Online Learning,Medium,148,100,Promoted
Student_6,17,Male,India,Tamil Nadu,Chennai,Engineer,High,Intermediate,Advanced,Python,4.25,Online Learning,Hard,134,94,Promoted
Student_7,13,Male,India,Delhi,Karol Bagh,Teacher,High,Intermediate,Basic,JavaScript,7.81,Online Learning,Easy,95,94,Promoted
Student_8,16,Female,India,Delhi,New Delhi,Teacher,Low,Advanced,Intermediate,SQL,4.44,Book,Medium,133,95,Promoted
Student_9,15,Female,India,Maharashtra,Mumbai,Doctor,Middle,Intermediate,Advanced,Python,2.89,Tutor,Hard,107,82,Promoted
Student_10,16,Female,India,West Bengal,Kolkata,Government Job,Middle,Advanced,Basic,Java,4.59,Book,Medium,86,73,Skipped
Student_11,16,Female,India,Tamil Nadu,Coimbatore,Doctor,Low,Beginner,Advanced,JavaScript,5.29,College,Hard,129,91,Promoted
Student_12,7,Female,India,Karnataka,Bangalore,Doctor,Middle,Advanced,Intermediate,Java,1.83,Online Learning,Easy,134,99,Promoted
Student_13,9,Male,India,Maharashtra,Nagpur,Government Job,Middle,Intermediate,Advanced,Java,4.36,PDF,Easy,86,77,Promoted
Student_14,9,Female,India,Maharashtra,Pune,Engineer,Middle,Beginner,Advanced,JavaScript,4.33,Online Learning,Medium,148,89,Promoted
Student_15,16,Male,India,Karnataka,Hubli,Business,Middle,Beginner,Intermediate,C++,3.85,PDF,Medium,100,73,Skipped
Student_16,11,Male,India,Karnataka,Hubli,Engineer,Middle,Advanced,Intermediate,C++,6.84,Tutor,Hard,85,84,Promoted
Student_17,16,Female,India,Delhi,New Delhi,Engineer,High,Intermediate,Advanced,Java,5.39,Tutor,Easy,128,98,Promoted
Student_18,6,Male,India,Maharashtra,Nagpur,Government Job,Low,Advanced,Intermediate,SQL,5.6,Online Learning,Hard,140,92,Promoted
Student_19,12,Male,India,Karnataka,Bangalore,Teacher,High,Beginner,Basic,C++,3.89,College,Easy,96,79,Promoted
Student_20,13,Female,India,Delhi,New Delhi,Business,Middle,Advanced,Basic,JavaScript,4.8,Book,Easy,97,85,Promoted
Student_21,6,Female,India,Tamil Nadu,Coimbatore,Doctor,Low,Intermediate,Advanced,Java,3.04,Online Learning,Easy,127,83,Promoted
Student_22,11,Female,India,Karnataka,Bangalore,Business,Low,Intermediate,Intermediate,JavaScript,3.73,PDF,Hard,147,83,Promoted
Student_23,6,Male,India,Karnataka,Hubli,Engineer,Middle,Advanced,Advanced,JavaScript,5.46,Tutor,Easy,130,90,Promoted
Student_24,9,Female,India,Maharashtra,Pune,Doctor,Low,Intermediate,Intermediate,SQL,4.45,Tutor,Easy,136,97,Promoted
Student_25,13,Female,India,Maharashtra,Nagpur,Business,High,Intermediate,Advanced,C++,5.13,Book,Medium,107,82,Promoted
Student_26,13,Male,India,Karnataka,Mysore,Engineer,High,Intermediate,Basic,JavaScript,7.17,PDF,Easy,82,83,Promoted
Student_27,14,Male,India,Karnataka,Bangalore,Engineer,High,Beginner,Intermediate,Java,4.15,Book,Easy,86,81,Promoted
Student_28,14,Female,India,Delhi,Dwarka,Government Job,High,Intermediate,Basic,JavaScript,5.87,Book,Medium,115,87,Promoted
Student_29,13,Male,India,West Bengal,Howrah,Other,Middle,Intermediate,Basic,JavaScript,3.73,College,Easy,143,94,Promoted
Student_30,13,Male,India,Karnataka,Bangalore,Government Job,Middle,Beginner,Basic,Java,5.03,PDF,Easy,82,83,Promoted
Student_31,8,Female,India,Maharashtra,Nagpur,Government Job,Middle,Advanced,Basic,SQL,3.74,Online Learning,Medium,107,89,Promoted
Student_32,6,Female,India,West Bengal,Kolkata,Business,High,Advanced,Basic,JavaScript,3.2,College,Medium,147,98,Promoted
Student_33,13,Female,India,West Bengal,Durgapur,Engineer,High,Beginner,Intermediate,Java,5.32,Online Learning,Easy,89,83,Promoted
Student_34,9,Male,India,Maharashtra,Nagpur,Doctor,Middle,Intermediate,Basic,JavaScript,4.59,Tutor,Medium,157,97,Promoted
Student_35,11,Male,India,Delhi,Dwarka,Business,High,Advanced,Advanced,SQL,4.41,Online Learning,Medium,129,97,Promoted
